ITS2_metazoa_luluotu_filt	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May	SKSha3Nov
ITS_Zotu380	0	0	0	0	0	118	0	0	0	1	0	0	2	0	0	0	6	0	1	0	0	1	0	0	1	0	32	0	0	1	669	0	2	0	50	0	19	0	6	0	0	3	24	0	1	1	20	0	0	0	16	0	0	0	0	0	0	0	0	0	2	0	0	6	8	28	0	16	0	21	0	0	0	4	3	0	1	3	0	1	1	5	23	0	13	47	1	0	0	119	0	0	0	298	11	0	2	9	0	0	0	0	0	0	12	3	0
ITS_Zotu449	15	3	0	0	8	11	0	0	0	0	10	0	2	0	2	6	14	0	83	0	51	1	0	2	19	0	2	0	2	2	9	2	14	1	28	9	63	0	21	0	0	0	13	0	284	73	41	2	17	0	4	0	2	39	1	106	47	27	24	2	51	30	136	0	33	102	0	0	23	0	0	0	2	0	39	0	0	8	0	0	0	4	0	0	0	6	1	14	0	2	16	1	0	2	2	36	0	4	0	0	4	31	0	0	0	4	0
ITS_Zotu1109	0	0	0	0	1	4	7	3	1	0	1	4	0	0	0	1	1	3	3	5	0	0	0	7	0	0	0	1	2	3	5	0	0	3	0	10	0	2	0	0	0	0	2	4	0	3	0	0	8	1	5	5	5	1	0	4	2	0	1	0	71	17	6	36	22	16	73	14	7	0	35	101	22	1	115	53	3	0	16	20	79	16	1	13	1	15	437	22	9	0	131	12	3	2	77	23	0	6	3	15	0	0	0	0	0	1	15
ITS_Zotu540	0	1	0	0	0	7	10	0	0	2	0	0	10	6	0	1	12	5	0	0	0	0	0	0	2	1	0	0	23	50	0	6	2	0	1	0	21	0	0	0	0	0	4	0	0	0	0	0	0	0	7	1	0	0	0	0	1	0	0	0	13	4	0	40	9	0	4	26	0	27	4	15	0	7	0	28	0	10	0	29	9	7	6	196	2	361	3	29	4	121	4	1	5	449	5	7	2	2	1	2	0	0	0	4	0	14	0
ITS_Zotu378	0	0	6	0	0	0	8	3	0	0	0	0	0	4	7	0	0	2	0	0	0	6	1	0	0	0	4	6	0	0	3	0	0	5	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	5	0	0	4	0	7	1	4	13	0	0	0	17	0	0	30	56	0	2	2	8	6	4	0	41	0	0	0	27	0	0	3	7	173	5	11	686	211	0	29	26	184	0	0
ITS_Zotu418	5	0	0	0	0	14	0	0	0	0	0	0	0	1	3	0	7	6	0	0	0	0	0	0	1	0	0	0	28	2	0	1	7	0	7	0	24	0	0	0	2	0	5	0	0	3	2	0	0	5	10	0	0	0	0	0	0	0	0	0	12	2	0	45	8	0	0	20	3	7	0	7	4	9	1	4	4	6	1	29	30	1	4	240	5	343	4	1	12	143	0	6	140	311	92	13	0	5	0	4	0	1	0	1	0	17	0
ITS_Zotu313	0	3	0	0	0	4	0	0	0	18	0	4	0	35	0	0	5	3	0	0	26	4	9	0	0	0	12	0	0	36	6	0	0	1	20	0	0	2	1082	0	0	14	32	0	0	32	22	0	0	0	19	0	145	0	0	0	0	0	0	0	0	20	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	13	0	1	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	1	0	0	0	0	0
ITS_Zotu2721	0	9	0	6	0	0	0	1	0	0	0	0	1	1	0	4	3	0	0	3	0	0	0	2	0	0	26	0	1	0	2	0	2	0	0	8	0	0	0	0	0	0	2	3	0	3	1	0	0	0	3	2	0	0	0	3	0	0	0	0	0	0	0	100	0	0	188	1	0	4	37	36	0	0	58	56	0	0	34	73	0	3	9	48	0	1	123	124	0	21	329	10	0	24	277	12	0	0	5	11	0	0	2	1	0	0	3
ITS_Zotu1614	0	15	0	0	3	12	1	0	0	0	6	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	2	0	0	2	1	0	0	10	0	0	0	117	29	0	0	17	34	0	0	71	2	0	8	2	6	0	0	8	5	0	1	29	16	0	3	465	672	1	1	39	0	0	35	0	0	0	1	0	0	0	3	0	1	0	35	11	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ITS_Zotu342	3	5	0	0	176	0	0	0	0	0	9	0	123	0	0	1	24	0	4	0	605	0	0	14	45	0	17	2	5	0	1	0	8	0	0	4	0	0	3	0	0	0	1	0	0	260	15	0	9	0	1	0	29	0	0	0	12	0	0	0	0	8	6	1	1	0	0	1	0	1	0	5	0	0	0	2	0	0	0	5	0	4	1	102	0	5	31	85	0	4	5	4	0	19	1	13	0	0	0	5	0	7	0	0	0	9	0
ITS_Zotu415	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	1	0	0	0	20	0	0	0	2	0	0	0	2	8	0	0	2	0	0	0	0	0	0	0	16	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	67	57	0	43	19	0	0	32	343	0	0	39	33	1	3	7	14	0	0	9	27	0	0	728	15	0	12	56	12	0	4	16	18	0	0	4	4	0	0	2	3	0	0	72
ITS_Zotu389	0	4	1	4	0	2	0	1	0	4	0	237	0	6	2	7	1	4	0	2	0	3	0	13	17	27	0	0	0	2	0	0	2	1	0	69	2	62	0	0	0	142	9	0	2	0	0	0	0	0	0	0	1	0	0	3	0	33	4	0	27	6	24	11	0	0	1	0	6	5	0	101	0	0	98	28	13	49	3	10	0	11	42	269	0	4	2	64	0	0	3	39	0	6	38	53	0	0	19	4	43	0	28	39	3	0	1
ITS_Zotu328	0	3	0	0	0	36	0	0	0	22	0	0	0	8	3	0	0	1	25	0	0	10	0	0	0	0	6	0	0	1	963	0	0	348	222	22	0	0	5	0	0	0	1	3	0	0	13	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_Zotu344	2	0	0	0	1	0	31	0	3	15	0	0	7	0	0	0	4	0	0	0	45	0	11	0	0	0	0	0	0	6	0	0	0	14	0	0	0	13	0	0	5	9	0	2	0	0	0	0	0	1	0	0	0	23	1	0	2	11	0	0	5	244	0	0	103	0	0	10	12	0	0	470	172	4	0	32	14	0	0	29	217	0	0	34	11	0	60	22	9	6	2	9	10	0	0	14	0	0	0	19	0	0	0	0	0	1	10
ITS_Zotu372	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	3	0	0	0	0	1	0	0	6	0	0	5	0	0	0	0	62	0	0	1	91	0	0	0	38	0	0	1	58	5	0	65	274	0	0	2	51	0	0	0	853	0	0	0	27	0	0	0	1	0	0	0	0	0	0	0	4	0	0	91	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	65	0	0	0	0	0	0	0	3	0	0	0
ITS_Zotu340	0	0	0	0	0	0	2	0	0	0	0	0	1	16	0	0	1	0	0	0	0	0	0	0	971	0	12	0	122	0	18	0	102	9	12	0	91	0	10	0	9	1	0	0	26	0	0	0	29	0	1	0	26	0	0	0	63	0	0	0	7	0	0	2	1	0	1	1	0	115	0	2	0	0	1	2	1	4	0	0	0	1	0	4	2	0	6	0	3	2	0	0	3	4	0	4	13	1	0	0	0	45	0	0	0	0	0
ITS_Zotu297	0	117	0	0	0	28	0	0	0	1388	0	0	0	16	2	0	0	35	0	0	0	23	0	0	0	3	2	0	0	22	0	0	0	23	19	0	0	0	0	0	0	0	13	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	6	0	0	0	13	0	0	0	15	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_Zotu1594	0	36	0	2	6	20	0	0	0	11	7	0	0	16	0	0	0	0	12	0	0	1	0	0	6	0	4	0	2	14	15	0	0	26	1	0	0	53	79	0	0	12	51	0	1	121	0	0	17	3	10	0	0	1	7	0	12	8	10	0	18	372	618	46	5	55	0	0	6	3	1	0	1	0	3	1	3	0	0	2	10	8	0	4	0	3	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_Zotu343	91	0	0	0	34	0	0	0	3	0	0	16	0	0	0	1	0	0	0	0	1237	0	0	13	4	0	0	0	8	0	0	0	0	0	0	0	0	0	2	0	2	0	42	0	0	0	0	0	12	0	0	0	27	0	0	0	24	0	52	0	88	0	3	0	0	3	3	1	0	1	0	3	0	0	0	0	0	14	0	0	0	0	0	0	0	15	0	48	0	0	0	0	0	0	0	0	0	1	0	2	0	18	0	0	0	2	0
ITS_Zotu491	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	14	0	0	0	0	2	2	1	0	0	0	0	0	7	0	0	0	1	0	0	5	0	0	3	3	0	0	4	0	0	0	0	0	0	0	0	0	1	1	0	47	0	0	70	4	0	9	35	136	11	7	46	15	0	3	27	35	7	5	1	6	3	20	784	20	6	2	96	1	7	46	239	2	0	5	11	7	0	1	1	4	0	0	40
ITS_Zotu332	0	294	19	14	0	127	102	2	0	183	33	650	0	26	3	6	0	4	1	4	20	25	18	6	0	11	22	6	0	26	3	0	0	21	4	0	0	0	0	0	0	0	0	0	0	15	8	0	5	6	0	0	34	1	0	5	8	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	19	0	35	0	1	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	4	0	0	22	4	0	0	0	1	0	0	5	1	0	0
ITS_Zotu315	0	0	0	0	16	0	0	0	0	0	8	10	0	6	0	0	121	0	0	0	733	4	0	16	0	0	2	0	0	0	88	0	0	7	2	0	1	0	221	0	0	0	8	0	0	14	402	0	5	0	10	0	10	0	0	0	7	0	0	0	0	0	80	0	0	21	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	13	0	0	4	0	0	0	0	5	0	0	0	0	0
ITS_Zotu336	0	0	0	1	0	0	0	1	0	0	0	0	7	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	15	0	0	5	2	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	10	0	58	0	0	22	12	61	0	8	13	46	0	5	13	59	0	5	6	277	0	16	23	356	0	244	270	17	0	15	101	30	0	2	14	30	0	0	0	11	0	0	0
ITS_Zotu330	6	2	0	0	4	0	0	0	0	0	1	2	1	15	0	3	15	0	3	0	588	0	0	9	27	0	46	0	1	0	25	0	4	8	18	0	2	159	645	0	1	13	3	0	2	13	18	0	9	3	3	0	21	6	0	0	14	1	0	1	0	0	0	1	0	0	0	0	4	1	0	3	1	0	0	12	0	3	0	4	0	0	0	85	0	0	0	5	0	0	3	0	0	0	0	4	0	0	0	7	4	2	0	0	2	0	0
ITS_Zotu346	0	188	0	0	0	93	0	0	0	94	3	0	0	84	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	940	1	0	0	61	1	0	0	8	18	0	0	0	19	0	0	18	0	0	0	0	71	0	0	1	0	0	8	2	1	0	8	24	117	0	0	11	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_Zotu345	1	150	2	0	0	262	0	2	0	640	5	1	0	6	0	1	0	64	7	0	0	4	5	120	2	3	4	0	0	82	4	0	0	294	0	0	0	3	144	0	0	8	2	0	0	2	0	0	0	3	2	0	0	0	0	0	0	0	0	0	12	4	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	4	0	0	0
ITS_Zotu326	0	0	0	14	0	0	0	7	0	0	0	4	0	0	0	0	0	0	0	5	0	0	0	0	25	0	0	0	2	0	0	1	6	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0	0	3	19	0	0	235	768	0	0	3	131	0	0	70	21	0	1	6	10	0	1	14	21	0	0	10	71	0	0	50	15	0	0	242	78	0	0	15
ITS_Zotu1189	0	2	1	1	8	25	8	0	0	0	0	1	0	0	2	9	0	4	0	1	0	4	2	15	0	1	2	0	0	6	18	0	3	5	0	60	0	1	3	2	0	1	3	4	0	5	4	3	11	2	2	0	4	0	0	22	6	4	0	0	65	10	21	34	27	109	29	17	31	3	14	147	35	0	47	65	17	8	8	53	262	17	3	21	26	10	191	44	27	5	68	23	33	9	67	30	1	3	1	11	1	0	1	1	1	3	10
ITS_Zotu306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	17	0	1803	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_Zotu355	0	0	0	0	5	0	0	0	0	0	0	692	1	0	0	5	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	2	0	50	0	0	65	0	0	12	0	31	0	61	0	2	0	35	0	19	0	0	18	776	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ITS_Zotu322	0	79	2	0	0	0	0	0	0	3	7	0	0	3	0	0	0	0	72	0	0	39	2	0	2	0	41	0	0	0	26	0	0	28	0	0	0	6	0	0	0	383	0	0	0	405	0	0	0	8	0	0	0	3	0	0	0	8	0	0	0	31	0	0	0	1	0	0	41	0	0	0	51	0	0	0	15	0	0	0	15	0	0	0	536	0	0	0	23	0	0	0	23	0	0	0	2	0	0	0	1	0	0	0	39	0	0
ITS_Zotu331	0	0	8	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	4	4	0	0	29	0	0	0	22	0	0	0	0	0	0	0	13	0	4	0	59	0	0	0	587	0	0	0	7	0	0	0	0	0	0	53	0	0	1	499	0	0	29	58	0	0	0	28	0	0	0	39	0	0	5	438	0	0	0	14	0	0	1	0	0	0	2	0	0	0	0	0	0	0
ITS_Zotu308	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	167	0	0	0	2	0	0	0	2	0	0	0	3	0	1118	0	3	0	122	0	0	138	0	0	0	0	106	0	1	0	35	0	41	0	59	0	0	0	16	0	0	28	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	3	0
ITS_Zotu300	0	14	0	0	0	1461	0	0	0	5	0	0	0	2	0	0	0	25	0	0	91	7	0	1	0	0	2	0	0	1	43	0	0	2	0	0	0	128	3	0	0	2	5	0	0	0	0	0	0	33	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	135	0	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0
ITS_Zotu339	4	0	0	1	0	0	0	4	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	1	0	232	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	9	0	0	0	0	2	4	313	0	7	0	139	0	347	0	585	0	25	6	2	0	0	172	16	5	79	4	0	0	2	26	3	0	0	0	3	0	0	0	0	0	0	7
ITS_Zotu353	0	8	0	0	0	14	0	0	0	0	3	0	0	0	6	1	0	0	28	0	0	0	0	47	0	0	0	0	0	0	15	0	0	0	2	105	4	0	0	613	0	0	26	5	0	24	0	6	0	0	0	0	2	0	0	12	226	0	0	0	0	228	0	0	0	113	1	0	9	13	0	209	1	0	0	11	3	0	0	5	6	0	0	0	4	2	34	22	160	1	0	1	7	15	1	12	0	0	0	9	0	1	0	0	0	0	8
ITS_Zotu1353	0	0	0	1	0	10	15	3	0	3	8	3	0	1	0	0	9	0	0	0	0	1	38	7	1	0	0	0	5	1	0	4	0	1	0	16	14	0	0	8	0	0	2	122	0	0	13	12	2	0	5	14	0	0	0	7	1	0	0	5	0	10	0	26	0	0	28	35	7	49	19	162	33	10	22	12	0	9	17	32	15	15	0	18	12	57	396	19	3	23	24	4	22	420	131	10	4	8	6	0	0	1	0	0	19	1	15
ITS_Zotu397	0	16	0	2	0	1	21	0	0	2	0	0	2	1	1	0	6	1	0	2	0	16	2	2	3	3	7	0	1	30	5	74	1	1	0	0	10	3	0	0	0	26	8	4	0	9	0	0	0	11	17	4	0	0	2	0	18	8	0	0	71	29	0	13	150	0	31	136	19	4	29	37	15	0	32	57	64	2	3	11	260	3	0	7	290	23	85	11	38	30	70	39	12	46	48	21	0	0	2	2	0	0	2	0	10	7	7
ITS_Zotu352	1	1	0	0	0	0	10	5	0	0	9	1	7	0	1	5	5	0	42	6	0	0	0	0	4	1	20	0	0	1	1	0	0	3	0	0	0	0	8	4	0	0	59	1	2	26	2	1	0	0	3	0	0	0	0	0	2	0	0	0	0	257	0	41	1	0	77	2	3	32	161	36	14	0	43	48	10	7	17	35	167	4	13	48	27	20	35	96	24	15	57	160	51	32	35	55	0	0	28	12	1	15	118	0	0	0	15
ITS_Zotu337	0	164	0	0	0	86	0	0	0	64	4	0	0	33	0	0	0	0	2	0	0	97	0	0	0	0	0	0	0	1056	2	0	0	91	0	0	0	0	3	0	0	4	17	0	0	21	0	0	4	0	75	0	0	0	1	0	0	0	12	0	2	0	302	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_Zotu1363	0	0	0	1	0	4	3	1	0	4	0	7	10	3	1	1	1	5	0	1	0	6	11	0	1	4	3	0	2	9	5	2	12	0	1	1	0	3	0	0	0	5	0	0	0	2	2	2	0	2	3	0	0	0	0	1	0	2	0	0	4	3	0	15	14	0	44	1	60	5	15	43	113	0	248	137	36	9	13	81	115	8	6	23	103	21	78	53	72	55	153	21	34	5	69	226	0	0	3	32	4	5	9	0	4	2	2
ITS_Zotu258	21	9	0	0	70	0	4	0	2	1	22	0	1227	3	109	0	48	0	61	0	8	0	7	0	0	0	0	0	0	155	0	0	23	3	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	34	3	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	18	0	0	0	0	0	0	2	0	0	0	12	31	0	0	3	24	0
ITS_Zotu307	0	0	3	0	6	0	2	0	0	16	10	0	0	5	6	0	0	0	48	0	0	0	48	0	0	0	0	0	0	0	0	0	3	2	0	0	1	0	1	1	0	0	45	0	0	42	1	1	3	0	8	0	0	35	0	0	0	0	0	0	0	465	49	0	3	0	35	0	19	0	3	4	778	0	1	70	17	0	11	6	96	12	4	7	41	0	1	5	22	7	28	5	11	0	2	3	46	0	30	2	0	0	13	0	2	0	0
ITS_Zotu287	1	790	0	0	2	37	0	0	0	9	1	0	2	37	1	2	0	0	0	0	390	36	0	10	3	0	49	0	0	8	8	0	3	8	1	0	47	3	63	2	0	0	0	0	49	34	89	0	20	0	0	0	13	0	0	0	141	0	7	0	2	0	19	0	0	79	0	0	29	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0	0	0	1	112	0	0	0	9	0
ITS_Zotu309	0	0	0	0	3	0	0	0	0	0	0	9	2	0	0	16	0	0	0	0	407	0	0	4	0	0	0	0	2	0	0	0	0	0	0	18	0	0	0	0	0	0	8	0	0	1	39	0	16	0	0	0	1452	0	0	0	72	0	0	0	92	0	8	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	9	0	0	0	1	0
ITS_Zotu278	0	16	15	0	0	80	109	0	0	1375	439	0	0	5	0	0	0	0	2	0	0	111	0	0	0	1	0	0	0	6	1	0	0	12	25	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ITS_Zotu334	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	4	0	0	0	259	1	0	1390	11	0	0	0	28	1	2	0	1	0	0	51	12	0	0	15	0	0	0	3	2	0	0	2	0	4	0	0	1	0	0	10	2	0	0	7	5	2	0	32	0	0	3	0	1	5	2	5	1	0	0	9	0	1	0	23	11	3	4	23	4	58	16	0	2	12	60	2	14	43	81	0	0	2	2	0	1	2	0	0	0	7	0
ITS_Zotu295	0	4	0	0	0	10	0	0	0	373	0	0	0	2	0	0	0	0	6	0	0	4	0	0	0	0	144	0	0	2	100	0	0	14	1383	0	0	0	68	0	0	0	64	0	0	5	60	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_Zotu285	0	0	2	0	3	63	0	0	0	1	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	19	0	0	11	0	1	8	50	10	0	0	2	1	1	0	0	3	0	0	1	85	0	1	3	26	2	79	0	0	0	47	0	7	0	73	1	1	0	107	4	0	0	88	5	1	3	95	0	2	0	1460	12	4	0	0	0	0	0	0	0	0	0	0	0	0
ITS_Zotu877	1	0	1	5	1	2	18	0	0	7	0	0	10	1	1	0	0	0	0	2	0	0	11	2	14	4	2	2	5	12	4	0	4	3	0	0	0	4	1	0	0	7	3	0	6	8	1	1	5	3	0	0	1	22	0	0	53	7	0	0	117	37	2	38	92	11	14	28	58	14	23	58	284	0	80	42	41	32	19	58	482	1	2	29	51	37	48	18	47	25	63	19	43	4	76	24	0	8	4	10	1	2	9	0	0	6	5
ITS_Zotu321	12	0	5	0	0	0	50	0	0	10	0	0	9	0	3	0	1	0	0	0	0	0	8	1	3	0	0	0	11	24	0	0	3	5	0	0	0	2	1	0	0	1	4	3	6	1	0	0	0	2	0	0	0	13	0	0	38	5	0	0	139	57	1	32	61	0	6	7	20	7	10	59	173	3	92	57	59	73	7	5	765	0	9	26	35	38	113	6	42	19	30	2	55	2	1	34	5	3	4	3	3	20	0	0	0	14	14
ITS_Zotu276	0	49	0	0	0	29	0	0	0	2034	0	0	0	20	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	14	0	0	0	98	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_Zotu277	6	0	2	0	6	10	0	0	1	8	1	1	164	0	0	2	43	0	1	0	496	0	172	408	129	0	0	0	14	1	24	0	6	0	1	12	2	0	2	10	0	0	2	0	24	5	0	0	7	0	0	0	16	3	0	3	10	0	3	2	42	57	74	0	29	213	0	2	5	5	0	2	1	0	3	0	0	60	0	32	0	1	10	10	0	1	0	7	0	2	4	0	0	0	0	68	1	7	4	0	4	54	1	14	0	43	0
ITS_Zotu288	0	0	0	0	0	0	4	0	3	0	0	0	0	9	0	0	0	0	0	0	0	0	9	3	0	0	0	0	0	2	2	0	0	17	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0	1	3	0	10	0	0	7	0	28	9	2	544	215	3	4	64	38	5	0	58	202	12	67	36	47	35	59	169	79	44	1	37	52	19	5	68	16	280	7	45	0	0	6	0	1	0	11
ITS_Zotu1279	3	31	0	3	0	5	0	12	1	1	0	6	1	5	23	4	4	1	7	1	6	1	1	2	0	0	22	1	0	2	2	15	3	8	18	46	0	0	1	7	0	2	2	19	1	19	16	15	12	9	0	33	17	0	0	22	7	2	0	3	6	0	1	95	12	4	209	4	6	0	48	51	6	0	74	51	14	0	35	70	16	0	1	25	8	4	331	140	110	10	149	6	128	12	250	28	0	2	15	9	1	2	2	0	0	4	10
ITS_Zotu294	5	0	0	0	4	0	0	0	0	0	2	4	23	0	0	17	42	18	0	0	793	0	0	32	7	0	0	0	0	1	7	0	0	1	0	0	2	3	26	8	0	0	11	0	21	3	0	0	16	1	3	0	68	0	1	2	274	4	2	0	85	72	334	0	70	104	0	6	251	22	0	0	2	0	0	0	3	0	0	0	4	14	0	0	3	3	0	0	2	0	0	0	3	0	0	0	0	0	0	0	10	0	0	0	0	5	0
ITS_Zotu291	0	2	0	0	0	11	0	0	0	2	44	0	0	1	0	0	0	0	1670	0	36	3	0	0	0	0	0	0	0	0	0	0	0	230	3	0	0	0	2	0	17	0	2	0	0	52	0	0	0	23	0	0	0	4	231	0	0	0	28	0	0	8	18	0	0	9	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ITS_Zotu274	0	4	0	0	0	14	0	0	0	5	0	0	0	0	4	0	0	0	1	0	0	1	0	4	0	0	14	0	0	0	1433	0	0	0	831	44	0	0	15	0	0	3	5	0	0	0	13	0	0	0	10	0	1	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	6	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
